 to your browser,לדפדפן שלך,
"""Company History""","""היסטוריה של חברה""",
"""Parent"" signifies the parent table in which this row must be added","""הורה"" מסמל את שולחן ההורה שבו יש להוסיף את השורה הזו",
"""Team Members"" or ""Management""","""חברי צוות"" או ""ניהול""",
"""amended_from"" field must be present to do an amendment.",השדה &quot;מתוקן_מ&quot; חייב להיות נוכח כדי לבצע תיקון.,
"""{0}"" is not a valid Google Sheets URL",&quot;{0}&quot; אינו כתובת אתר חוקית של Google Sheets,
#{0},#{0},
${values.doctype_name} has been added to queue for optimization,${values.doctype_name} נוסף לתור לאופטימיזציה,
&copy; Frappe Technologies Pvt. Ltd. and contributors,© Frappe Technologies Pvt. בע&quot;מ ותורמים,
&lt;head&gt; HTML,&lt;ראש&gt; HTML,
'In Global Search' is not allowed for field {0} of type {1},&#39;בחיפוש גלובלי&#39; אסור בשדה {0} מסוג {1},
'In Global Search' not allowed for type {0} in row {1},&#39;בחיפוש גלובלי&#39; אסור לסוג {0} בשורה {1},
'In List View' is not allowed for field {0} of type {1},&#39;בתצוגת רשימה&#39; אסור בשדה {0} מסוג {1},
'In List View' not allowed for type {0} in row {1},"""ברשימת צפייה 'לא אפשר לסוג {0} בשורת {1}",
'Recipients' not specified,&#39;מקבלי&#39; לא צוינו,
'{0}' is not a valid URL,&#39;{0}&#39; אינו כתובת אתר חוקית,
'{0}' not allowed for type {1} in row {2},אסור &#39;{0}&#39; לסוג {1} בשורה {2},
(Mandatory),(חובה),
** Failed: {0} to {1}: {2},** נכשל: {0} {1}: {2},
+ Add / Remove Fields,+ הוסף/הסר שדות,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - טיוטה; 1 - נשלח; 2 - בוטל,
0 is highest,0 הוא גבוהה ביותר,
1 = True & 0 = False,1 = נכון ו-0 = לא נכון,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 מטבע = [?] שבר
לדוגמה 1 דולר = 100 סנט",
1 Day,1 יום,
1 Google Calendar Event synced.,אירוע יומן Google אחד מסונכרן.,
1 Report,דוח 1,
1 comment,1 תגובה,
1 day ago,לפני יום אחד,
1 hour,שעה אחת,
